Date,CCI forecast value,Spread forecast value,Copper forecast value
2019-12-31,102.06142550732092,1.8972867231159782,5762.266287921566
2020-01-31,101.98889861672818,1.9312082925945315,5764.090938158068
2020-02-29,101.94653724441056,1.9599069164783414,5869.088709809739
2020-03-31,102.04854082199405,1.9439710572481417,5841.285785480659
2020-04-30,102.12124424509493,2.028686798807091,5835.889037578281
2020-05-31,102.1692023124096,2.0962275313273278,5795.636617837132
2020-06-30,102.16305682256112,2.0849368005966493,5708.449673169371
2020-07-31,102.13321381203376,2.018410324860193,5749.931522489221
2020-08-31,102.13398263350308,1.9564848037599976,5701.37737329583
2020-09-30,102.1567983693472,1.960726971297604,5668.041224938949
2020-10-31,102.16323467721057,1.9757244938745346,5689.686095976056
